quarter,town,flat_type,median_rent
2005-Q4,ANG MO KIO,1-RM,na                        
2005-Q4,ANG MO KIO,2-RM,-                         
2005-Q4,ANG MO KIO,3-RM,800
2005-Q4,ANG MO KIO,4-RM,925
2005-Q4,ANG MO KIO,5-RM,-                         
2005-Q4,ANG MO KIO,EXEC,-                         
2005-Q4,BEDOK,1-RM,na                             
2005-Q4,BEDOK,2-RM,-                              
2005-Q4,BEDOK,3-RM,800
2005-Q4,BEDOK,4-RM,950
2005-Q4,BEDOK,5-RM,1075
2005-Q4,BEDOK,EXEC,-                              
2005-Q4,BISHAN,1-RM,na                            
2005-Q4,BISHAN,2-RM,na                            
2005-Q4,BISHAN,3-RM,-                             
2005-Q4,BISHAN,4-RM,1000
2005-Q4,BISHAN,5-RM,-                             
2005-Q4,BISHAN,EXEC,-                             
2005-Q4,BUKIT BATOK,1-RM,na                       
2005-Q4,BUKIT BATOK,2-RM,na                       
2005-Q4,BUKIT BATOK,3-RM,800
2005-Q4,BUKIT BATOK,4-RM,900
2005-Q4,BUKIT BATOK,5-RM,-                        
2005-Q4,BUKIT BATOK,EXEC,-                        
2005-Q4,BUKIT MERAH,1-RM,-                        
2005-Q4,BUKIT MERAH,2-RM,-                        
2005-Q4,BUKIT MERAH,3-RM,800
2005-Q4,BUKIT MERAH,4-RM,1000
2005-Q4,BUKIT MERAH,5-RM,-                        
2005-Q4,BUKIT MERAH,EXEC,na                       
2005-Q4,BUKIT PANJANG,1-RM,na                     
2005-Q4,BUKIT PANJANG,2-RM,na                     
2005-Q4,BUKIT PANJANG,3-RM,-                      
2005-Q4,BUKIT PANJANG,4-RM,-                      
2005-Q4,BUKIT PANJANG,5-RM,-                      
2005-Q4,BUKIT PANJANG,EXEC,-                      
2005-Q4,BUKIT TIMAH,1-RM,na                       
2005-Q4,BUKIT TIMAH,2-RM,na                       
2005-Q4,BUKIT TIMAH,3-RM,-                        
2005-Q4,BUKIT TIMAH,4-RM,-                        
2005-Q4,BUKIT TIMAH,5-RM,-                        
2005-Q4,BUKIT TIMAH,EXEC,na                       
2005-Q4,CENTRAL,1-RM,na                           
2005-Q4,CENTRAL,2-RM,-                            
2005-Q4,CENTRAL,3-RM,-                            
2005-Q4,CENTRAL,4-RM,-                            
2005-Q4,CENTRAL,5-RM,na                           
2005-Q4,CENTRAL,EXEC,na                           
2005-Q4,CHOA CHU KANG,1-RM,na                     
2005-Q4,CHOA CHU KANG,2-RM,na                     
2005-Q4,CHOA CHU KANG,3-RM,-                      
2005-Q4,CHOA CHU KANG,4-RM,900
2005-Q4,CHOA CHU KANG,5-RM,925
2005-Q4,CHOA CHU KANG,EXEC,-                      
2005-Q4,CLEMENTI,1-RM,na                          
2005-Q4,CLEMENTI,2-RM,na                          
2005-Q4,CLEMENTI,3-RM,800
2005-Q4,CLEMENTI,4-RM,1000
2005-Q4,CLEMENTI,5-RM,-                           
2005-Q4,CLEMENTI,EXEC,-                           
2005-Q4,GEYLANG,1-RM,na                           
2005-Q4,GEYLANG,2-RM,-                            
2005-Q4,GEYLANG,3-RM,800
2005-Q4,GEYLANG,4-RM,1000
2005-Q4,GEYLANG,5-RM,-                            
2005-Q4,GEYLANG,EXEC,-                            
2005-Q4,HOUGANG,1-RM,na                           
2005-Q4,HOUGANG,2-RM,na                           
2005-Q4,HOUGANG,3-RM,-                            
2005-Q4,HOUGANG,4-RM,880
2005-Q4,HOUGANG,5-RM,900
2005-Q4,HOUGANG,EXEC,-                            
2005-Q4,JURONG EAST,1-RM,na                       
2005-Q4,JURONG EAST,2-RM,na                       
2005-Q4,JURONG EAST,3-RM,800
2005-Q4,JURONG EAST,4-RM,-                        
2005-Q4,JURONG EAST,5-RM,-                        
2005-Q4,JURONG EAST,EXEC,-                        
2005-Q4,JURONG WEST,1-RM,na                       
2005-Q4,JURONG WEST,2-RM,na                       
2005-Q4,JURONG WEST,3-RM,800
2005-Q4,JURONG WEST,4-RM,1000
2005-Q4,JURONG WEST,5-RM,1000
2005-Q4,JURONG WEST,EXEC,-                        
2005-Q4,KALLANG/WHAMPOA,1-RM,na                   
2005-Q4,KALLANG/WHAMPOA,2-RM,-                    
2005-Q4,KALLANG/WHAMPOA,3-RM,800
2005-Q4,KALLANG/WHAMPOA,4-RM,-                    
2005-Q4,KALLANG/WHAMPOA,5-RM,-                    
2005-Q4,KALLANG/WHAMPOA,EXEC,na                   
2005-Q4,LIM CHU KANG,1-RM,na                      
2005-Q4,LIM CHU KANG,2-RM,na                      
2005-Q4,LIM CHU KANG,3-RM,na                      
2005-Q4,LIM CHU KANG,4-RM,na                      
2005-Q4,LIM CHU KANG,5-RM,na                      
2005-Q4,LIM CHU KANG,EXEC,na                      
2005-Q4,MARINE PARADE,1-RM,na                     
2005-Q4,MARINE PARADE,2-RM,na                     
2005-Q4,MARINE PARADE,3-RM,900
2005-Q4,MARINE PARADE,4-RM,-                      
2005-Q4,MARINE PARADE,5-RM,-                      
2005-Q4,MARINE PARADE,EXEC,na                     
2005-Q4,PASIR RIS,1-RM,na                         
2005-Q4,PASIR RIS,2-RM,na                         
2005-Q4,PASIR RIS,3-RM,na                         
2005-Q4,PASIR RIS,4-RM,910
2005-Q4,PASIR RIS,5-RM,900
2005-Q4,PASIR RIS,EXEC,1050
2005-Q4,PUNGGOL,1-RM,na                           
2005-Q4,PUNGGOL,2-RM,na                           
2005-Q4,PUNGGOL,3-RM,na                           
2005-Q4,PUNGGOL,4-RM,-                            
2005-Q4,PUNGGOL,5-RM,-                            
2005-Q4,PUNGGOL,EXEC,-                            
2005-Q4,QUEENSTOWN,1-RM,na                        
2005-Q4,QUEENSTOWN,2-RM,-                         
2005-Q4,QUEENSTOWN,3-RM,850
2005-Q4,QUEENSTOWN,4-RM,1100
2005-Q4,QUEENSTOWN,5-RM,-                         
2005-Q4,QUEENSTOWN,EXEC,na                        
2005-Q4,SEMBAWANG,1-RM,na                         
2005-Q4,SEMBAWANG,2-RM,na                         
